component,version,declared_license,spdx_expression,site,license_file,risk_level,notes
IPED,,GNU GPL v3 or later,GPL-3.0-or-later,,LICENSE.txt,high-copyleft,"Licença principal do produto; contém permissões adicionais seção 7"
Apache Lucene,4.9.0,Apache License Version 2.0,Apache-2.0,https://lucene.apache.org/core/,licenses/Apache 2.0.txt,low,
Apache Tika,1.15,Apache License Version 2.0,Apache-2.0,https://tika.apache.org/,licenses/Apache 2.0.txt,low,
Apache PDFBox,,Apache License Version 2.0,Apache-2.0,https://pdfbox.apache.org/,licenses/Apache 2.0.txt,low,
IcePDF,6.1.3,Apache License Version 2.0,Apache-2.0,http://www.icesoft.org/java/projects/ICEpdf,licenses/Apache 2.0.txt,low,
Optimaize Language Detector,,Apache License Version 2.0,Apache-2.0,https://github.com/optimaize/language-detector,licenses/Apache 2.0.txt,low,
Xerial SQLite JDBC,,Apache License Version 2.0,Apache-2.0,https://github.com/xerial/sqlite-jdbc,licenses/Apache 2.0.txt,low,
MapDB,,Apache License Version 2.0,Apache-2.0,http://www.mapdb.org/,licenses/Apache 2.0.txt,low,
Java Libpst,,Apache License Version 2.0,Apache-2.0,https://github.com/rjohnsondev/java-libpst,licenses/Apache 2.0.txt,low,
ImageMagick,,Apache License Version 2.0,Apache-2.0,https://www.imagemagick.org/script/index.php,licenses/Apache 2.0.txt,low,
Tesseract OCR,,Apache License Version 2.0,Apache-2.0,https://github.com/tesseract-ocr/tesseract,licenses/Apache 2.0.txt,low,
Apache Log4j2,,Apache License Version 2.0,Apache-2.0,https://logging.apache.org/log4j/2.x/,licenses/Apache 2.0.txt,low,
Apache TwelveMonkeys,,BSD 3 Clause,BSD-3-Clause,https://github.com/haraldk/TwelveMonkeys,licenses/TwelveMonkeys.txt,low,
OFX Client,,Apache License Version 2.0,Apache-2.0,https://github.com/stoicflame/ofx4j,licenses/Apache 2.0.txt,low,
Simple Logging Facade for Java,,MIT,MIT,https://www.slf4j.org/,licenses/SLF4J.txt,low,
Danny Yoo Aho-Corasick,,BSD 3 clause,BSD-3-Clause,https://github.com/raymanrt/aho-corasick,licenses/Ahocorasick.txt,low,
Dk Brics Automaton,,BSD 3 clause,BSD-3-Clause,http://www.brics.dk/automaton/,licenses/DkBricsAutomaton.txt,low,
JAI ImageIO Core,,BSD 3 clause,BSD-3-Clause,https://github.com/jai-imageio/jai-imageio-core,licenses/JaiImageIoCore.txt,low,
Postgresql JDBC Driver,,BSD 2 clause,BSD-2-Clause,https://jdbc.postgresql.org/,licenses/PostgresqlJDBC.txt,low,
Microsoft JDBC Driver for SQL Server,,MIT,MIT,https://github.com/Microsoft/mssql-jdbc,licenses/MSSQLServerJDBC.txt,low,
ICE JNI Registry,,Public Domain,NOASSERTION,http://www.trustice.com/java/jnireg/,,medium,"Sem arquivo de licença local; confirmar texto de domínio público"
ZSTD-jni,,BSD 2 clause,BSD-2-Clause,https://github.com/luben/zstd-jni,licenses/Zstd-jni.txt,low,
Rifiuti2,,BSD 3 clause,BSD-3-Clause,https://github.com/abelcheung/rifiuti2,,medium,"Sem arquivo de licença local mapeado"
Eclipse SWT,,Eclipse Public License 1.0,EPL-1.0,https://www.eclipse.org/swt/,licenses/EPL 1.0.txt,medium,
The Sleuthkit,,IBM Public License, Common Public License,IPL-1.0 OR CPL-1.0,https://www.sleuthkit.org/,licenses/IPL 1.0.txt; licenses/CPL 1.0.txt,medium,"Compatibilizado por permissão adicional no GPLv3 seção 7 do IPED"
mchange commons java,,GNU LGPL 2.1,LGPL-2.1-only,https://github.com/swaldman/mchange-commons-java,licenses/LGPL 2.1.txt,medium-copyleft,
mchange c3p0,,GNU LGPL 2.1,LGPL-2.1-only,https://github.com/swaldman/c3p0,licenses/LGPL 2.1.txt,medium-copyleft,
Libewf,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libewf,licenses/LGPL 3.txt,medium-copyleft,
Libvmdk,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libvmdk,licenses/LGPL 3.txt,medium-copyleft,
Libvhdi,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libvhdi,licenses/LGPL 3.txt,medium-copyleft,
Libesedb,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libesedb,licenses/LGPL 3.txt,medium-copyleft,
Libpff,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libpff,licenses/LGPL 3.txt,medium-copyleft,
Libmsiecf,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/Libmsiecf,licenses/LGPL 3.txt,medium-copyleft,
Libevt,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libevt,licenses/LGPL 3.txt,medium-copyleft,
Libevtx,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libevtx,licenses/LGPL 3.txt,medium-copyleft,
Libagdb,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libagdb,licenses/LGPL 3.txt,medium-copyleft,
Libscca,,GNU LGPL v.3,LGPL-3.0-only,https://github.com/libyal/libscca,licenses/LGPL 3.txt,medium-copyleft,
